"","Name","Subtitle","Acceleration(sec)","TopSpeed(km/h)","Range(km)","Efficiency(Wh/km)","FastChargeSpeed(km/h)","Drive","NumberofSeats","PriceinGermany(â,¬)","PriceinUK(Â£)"
"160","Mercedes EQB 350 4MATIC","Battery Electric Vehicle |       66.5 kWh",6.5,160,340,196,400,"All Wheel Drive",7,NA,50000
"161","Volkswagen ID.4 GTX","Battery Electric Vehicle |       77 kWh",6.2,180,400,193,490,"All Wheel Drive",5,NA,55540
"162","Mercedes EQA 300 4MATIC","Battery Electric Vehicle |       66.5 kWh",7.7,160,350,190,420,"All Wheel Drive",5,NA,NA
"163","Mercedes EQA 350 4MATIC","Battery Electric Vehicle |       66.5 kWh",6,160,350,190,420,"All Wheel Drive",5,NA,NA
"164","Toyota PROACE Verso M 50 kWh","Battery Electric Vehicle |       45 kWh ",12.1,130,185,243,250,"Front Wheel Drive",7,NA,NA
"165","Toyota PROACE Verso L 50 kWh","Battery Electric Vehicle |       45 kWh ",12.1,130,180,250,240,"Front Wheel Drive",7,NA,NA
"166","Toyota PROACE Verso M 75 kWh","Battery Electric Vehicle |       68 kWh ",13.1,130,270,252,290,"Front Wheel Drive",7,NA,NA
"167","Toyota PROACE Verso L 75 kWh","Battery Electric Vehicle |       68 kWh ",13.1,130,270,252,290,"Front Wheel Drive",7,NA,NA
"168","CUPRA Born 150 kW - 62 kWh","Battery Electric Vehicle |       58 kWh",7.3,160,350,166,440,"Rear Wheel Drive",5,NA,30500
"169","CUPRA Born 170 kW - 62 kWh","Battery Electric Vehicle |       58 kWh",6.6,160,345,168,430,"Rear Wheel Drive",5,NA,31500
"170","CUPRA Born 170 kW - 82 kWh","Battery Electric Vehicle |       77 kWh",7,160,450,171,550,"Rear Wheel Drive",5,NA,42000
"171","BMW i4 M50","Battery Electric Vehicle |       80.7 kWh",3.9,225,450,179,630,"All Wheel Drive",5,NA,63905
"172","Volvo XC40 Recharge Twin Pure Electric","Battery Electric Vehicle |       75 kWh",4.9,180,340,221,440,"All Wheel Drive",5,NA,49950
"173","Renault Megane E-Tech Electric","Battery Electric Vehicle |       60 kWh ",8,160,335,179,480,"Front Wheel Drive",5,NA,32500
"174","Peugeot e-Rifter Standard 50 kWh","Battery Electric Vehicle |       45 kWh ",11.7,135,200,225,270,"Front Wheel Drive",7,NA,30375
"175","Peugeot e-Rifter Long 50 kWh","Battery Electric Vehicle |       45 kWh ",11.7,135,195,231,260,"Front Wheel Drive",7,NA,32455
"176","MG Marvel R ","Battery Electric Vehicle |       65 kWh ",7.9,200,340,191,390,"Rear Wheel Drive",5,NA,NA
"177","Tesla Model 3 Long Range Dual Motor","Battery Electric Vehicle |       76 kWh ",4.4,233,490,155,820,"All Wheel Drive",5,NA,NA
"178","MG MG5 EV Long Range","Battery Electric Vehicle |       57 kWh ",7.7,185,340,168,340,"Front Wheel Drive",5,NA,26495
"179","Audi Q4 e-tron 45 quattro","Battery Electric Vehicle |       76.6 kWh",6.9,180,385,199,470,"All Wheel Drive",5,NA,NA
"180","Audi Q4 Sportback e-tron 40","Battery Electric Vehicle |       76.6 kWh",8.5,160,425,180,520,"Rear Wheel Drive",5,NA,NA
